name,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,manganese,molybdenum,nickel,cobalt,sodium,oxygen,carbondioxide,ph_min,ph_max,EC_min,EC_max,temp,humidity,light,growth_stage,type
baby spinach,255000.00,115500.00,252500.00,151500.00,61200.00,31500.00,1818.00,3605.00,1854.00,18360.00,9270.00,9180.00,350.00,628.32,194.78,1224.00,9.10,720.00,6.00,6.50,1.30,1.80,23.00,60.00,380.00,flowering,leafy_greens
bay laurel,220000.00,136500.00,244800.00,133900.00,62400.00,30900.00,1854.00,3570.00,1800.00,17000.00,9360.00,9270.00,416.00,276.46,101.32,755.39,4.38,640.00,6.00,6.50,1.20,1.70,22.00,65.00,390.00,vegetative,herbs
bay laurel,81600.00,46350.00,90000.00,41600.00,26000.00,15000.00,624.00,1020.00,618.00,4000.00,2550.00,2600.00,124.80,188.50,84.82,367.20,5.14,540.00,6.00,6.50,1.20,1.70,20.00,70.00,340.00,seedling,herbs
bay laurel,81600.00,45000.00,90000.00,40800.00,25750.00,15450.00,612.00,1000.00,624.00,4000.00,2500.00,2525.00,122.40,628.32,326.73,349.72,6.65,540.00,6.00,6.50,1.20,1.70,20.00,70.00,340.00,harvesting,herbs
bay laurel,320000.00,183600.00,332800.00,199500.00,83200.00,46800.00,2600.00,5000.00,2600.00,22440.00,12000.00,12000.00,515.00,364.42,307.88,335.73,5.98,820.00,6.00,6.50,1.20,1.70,24.00,60.00,440.00,flowering,herbs
bay leaf,62400.00,40000.00,52000.00,40400.00,30600.00,30000.00,728.00,832.00,707.00,6240.00,4000.00,4080.00,130.00,885.93,122.52,646.97,5.09,540.00,6.00,6.50,1.30,1.80,24.00,62.00,270.00,vegetative,spices
bay leaf,30600.00,20400.00,26000.00,20600.00,15000.00,15000.00,420.00,525.00,412.00,4040.00,3120.00,3000.00,82.40,581.19,146.61,769.37,8.51,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,seedling,spices
bay leaf,31200.00,20200.00,25500.00,20400.00,15450.00,15000.00,408.00,500.00,416.00,4000.00,3150.00,3000.00,81.60,706.86,249.76,209.83,7.47,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,harvesting,spices
bay leaf,91800.00,61200.00,78000.00,63000.00,45900.00,45450.00,1040.00,1224.00,1030.00,9090.00,6000.00,6120.00,204.00,885.93,97.39,517.58,3.82,640.00,6.00,6.50,1.30,1.80,26.00,57.00,320.00,flowering,spices
beech mushrooms (shimeji),61800.00,41600.00,51500.00,41600.00,30000.00,30600.00,735.00,800.00,721.00,6060.00,4000.00,4000.00,133.90,301.59,75.40,563.04,7.62,540.00,6.00,6.50,1.20,1.70,24.00,62.00,270.00,vegetative,mushrooms
beech mushrooms (shimeji),30900.00,20400.00,25000.00,20400.00,15750.00,15000.00,416.00,520.00,400.00,4080.00,3000.00,3030.00,82.40,301.59,73.04,545.56,4.05,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,seedling,mushrooms
beech mushrooms (shimeji),31500.00,20200.00,25250.00,20200.00,15750.00,15150.00,412.00,505.00,404.00,4080.00,3060.00,3090.00,82.40,486.95,120.43,671.45,6.12,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,harvesting,mushrooms
beech mushrooms (shimeji),90900.00,60600.00,77250.00,60600.00,45450.00,45900.00,1000.00,1212.00,1000.00,9450.00,6180.00,6060.00,206.00,644.03,47.12,335.73,5.28,640.00,6.00,6.50,1.20,1.70,26.00,57.00,320.00,flowering,mushrooms
beefsteak tomatoes,360500.00,200000.00,432600.00,228800.00,110000.00,57750.00,2625.00,4120.00,2525.00,25500.00,12480.00,12360.00,515.00,251.33,163.36,709.92,5.78,1400.00,6.00,6.50,1.20,1.70,32.00,55.00,380.00,vegetative,fruitables
beefsteak tomatoes,126000.00,70000.00,154500.00,82400.00,41200.00,20000.00,1030.00,1530.00,1000.00,8400.00,4120.00,4160.00,208.00,402.12,235.62,405.67,6.13,700.00,6.00,6.50,1.20,1.70,28.00,60.00,320.00,seedling,fruitables
beefsteak tomatoes,121200.00,72100.00,153000.00,83200.00,40000.00,20000.00,1050.00,1515.00,1050.00,8000.00,4200.00,4040.00,204.00,376.99,490.09,566.54,4.10,700.00,6.00,6.50,1.20,1.70,28.00,60.00,320.00,harvesting,fruitables
beefsteak tomatoes,612000.00,360500.00,748800.00,387600.00,190000.00,95000.00,4080.00,6000.00,4200.00,40400.00,20800.00,20600.00,840.00,339.29,164.93,664.46,4.35,2100.00,6.00,6.50,1.20,1.70,35.00,50.00,450.00,flowering,fruitables
beet greens,224400.00,131300.00,249600.00,135200.00,62400.00,30000.00,1818.00,3605.00,1836.00,17850.00,9270.00,9450.00,400.00,367.57,70.69,209.83,8.05,640.00,6.00,6.50,1.20,1.70,22.00,65.00,390.00,vegetative,leafy_greens
beet greens,83200.00,46350.00,90900.00,41200.00,26000.00,15750.00,612.00,1040.00,600.00,4080.00,2525.00,2575.00,126.00,753.98,94.25,1346.40,6.40,540.00,6.00,6.50,1.20,1.70,20.00,70.00,340.00,seedling,leafy_greens
beet greens,84000.00,47250.00,90000.00,40800.00,25750.00,15750.00,624.00,1000.00,600.00,4080.00,2500.00,2625.00,121.20,857.65,235.62,535.06,6.64,540.00,6.00,6.50,1.20,1.70,20.00,70.00,340.00,harvesting,leafy_greens
beet greens,336000.00,189000.00,332800.00,193800.00,84000.00,47250.00,2600.00,5200.00,2550.00,22880.00,12120.00,12600.00,515.00,301.59,94.25,930.24,4.17,820.00,6.00,6.50,1.20,1.70,24.00,60.00,440.00,flowering,leafy_greens
beetroot,306800.00,143420.00,362250.00,174720.00,82160.00,40170.00,1616.00,2781.00,1616.00,12600.00,4080.00,6180.00,367.50,1036.73,257.61,405.67,3.44,1165.00,5.20,6.60,1.20,1.70,22.00,50.00,310.00,vegetative,root_vegetable
beetroot,88400.00,42000.00,110090.00,53530.00,27040.00,12600.00,315.00,618.00,315.00,3060.00,1030.00,2040.00,71.40,590.62,287.98,230.81,5.52,575.00,5.30,6.50,1.20,1.70,18.00,53.00,280.00,seedling,root_vegetable
beetroot,94500.00,44000.00,114240.00,59850.00,27300.00,12240.00,404.00,714.00,412.00,4080.00,2000.00,3120.00,93.60,226.19,211.12,335.73,4.23,585.00,5.20,6.60,1.20,1.70,19.00,54.00,300.00,harvesting,root_vegetable
beetroot,514800.00,232000.00,607700.00,296640.00,146000.00,69680.00,3468.00,5200.00,3360.00,27000.00,11000.00,14280.00,525.20,367.57,57.81,545.56,5.66,1730.00,5.10,6.70,1.20,1.70,25.00,47.00,355.00,flowering,root_vegetable
bergamot,204000.00,120000.00,222200.00,113300.00,52000.00,25500.00,1500.00,3090.00,1575.00,15150.00,8400.00,8400.00,309.00,402.12,141.37,472.12,5.39,600.00,6.00,6.50,1.20,1.70,22.00,65.00,350.00,vegetative,herbs
bergamot,73500.00,41200.00,80800.00,35350.00,20600.00,10200.00,520.00,832.00,505.00,3030.00,2020.00,2020.00,81.60,395.84,50.27,874.29,7.37,500.00,6.00,6.50,1.20,1.70,20.00,70.00,300.00,seedling,herbs
bergamot,71400.00,40400.00,84000.00,36750.00,20000.00,10100.00,510.00,832.00,520.00,3090.00,2040.00,2020.00,84.00,461.81,136.14,304.25,7.18,500.00,6.00,6.50,1.20,1.70,20.00,70.00,300.00,harvesting,herbs
bergamot,285600.00,166400.00,294000.00,171700.00,72100.00,35000.00,2000.00,4040.00,2060.00,20000.00,10200.00,10000.00,408.00,405.27,157.08,856.80,6.78,750.00,6.00,6.50,1.20,1.70,24.00,60.00,400.00,flowering,herbs
bibb butterhead lettuce,210000.00,94500.00,228800.00,120000.00,51000.00,26250.00,1545.00,3120.00,1515.00,15750.00,8080.00,8240.00,306.00,867.08,71.21,472.12,8.72,600.00,6.00,6.50,1.20,1.70,22.00,65.00,350.00,vegetative,leafy_greens
bibb butterhead lettuce,70000.00,30300.00,80000.00,35000.00,20600.00,10000.00,400.00,700.00,420.00,3060.00,2100.00,2040.00,82.40,452.39,211.12,367.20,3.63,500.00,6.00,6.50,1.20,1.70,20.00,70.00,300.00,seedling,leafy_greens
bibb butterhead lettuce,73500.00,30900.00,82400.00,36050.00,20200.00,10200.00,408.00,714.00,400.00,3090.00,2020.00,2080.00,80.00,628.32,333.01,685.44,7.33,500.00,6.00,6.50,1.20,1.70,20.00,70.00,300.00,harvesting,leafy_greens
bibb butterhead lettuce,288400.00,121200.00,280000.00,181800.00,70700.00,35700.00,2060.00,4200.00,2100.00,20200.00,10500.00,10200.00,404.00,904.78,344.53,377.69,3.64,750.00,6.00,6.50,1.20,1.70,24.00,60.00,400.00,flowering,leafy_greens
black pepper,224400.00,136500.00,242400.00,135200.00,62400.00,30600.00,1818.00,3535.00,1818.00,17850.00,9180.00,9180.00,400.00,967.61,164.93,325.24,3.22,640.00,6.00,6.50,1.20,1.70,22.00,65.00,390.00,vegetative,herbs
black pepper,82400.00,46800.00,92700.00,40400.00,25750.00,15600.00,630.00,1020.00,606.00,4000.00,2625.00,2550.00,124.80,527.79,196.35,349.72,3.26,540.00,6.00,6.50,1.20,1.70,20.00,70.00,340.00,seedling,herbs
black pepper,84000.00,45000.00,90900.00,40800.00,25750.00,15600.00,630.00,1030.00,612.00,4200.00,2600.00,2575.00,124.80,179.07,314.16,507.09,4.08,540.00,6.00,6.50,1.20,1.70,20.00,70.00,340.00,harvesting,herbs
black pepper,320000.00,189000.00,332800.00,199500.00,80000.00,47250.00,2625.00,5050.00,2600.00,22440.00,12120.00,12600.00,515.00,490.09,142.42,577.03,8.06,820.00,6.00,6.50,1.20,1.70,24.00,60.00,440.00,flowering,herbs
blackberries,160000.00,105000.00,145600.00,120000.00,82400.00,61200.00,1224.00,1456.00,1020.00,16800.00,12480.00,10400.00,200.00,772.83,141.37,587.52,4.08,560.00,6.00,6.50,1.20,1.70,25.00,61.00,280.00,vegetative,fruit_vines
blackberries,299970.00,151200.00,349000.00,177840.00,82000.00,41410.00,1818.00,2958.00,1836.00,14700.00,6180.00,8240.00,373.70,251.33,72.26,594.52,4.62,1175.00,5.30,6.70,1.30,1.80,24.00,52.00,320.00,vegetative,fruitables
blackberries,83200.00,50500.00,70700.00,60000.00,40400.00,30300.00,612.00,735.00,500.00,8320.00,6060.00,5050.00,102.00,518.36,184.73,325.24,8.28,460.00,6.00,6.50,1.30,1.80,23.00,66.00,230.00,seedling,fruit_vines
blackberries,89610.00,44440.00,116550.00,56700.00,27810.00,13650.00,408.00,735.00,404.00,4200.00,2060.00,3150.00,93.60,942.48,104.72,535.06,5.80,585.00,5.40,6.60,1.20,1.70,19.00,55.00,290.00,seedling,fruitables
blackberries,84000.00,50500.00,72100.00,62400.00,40400.00,30300.00,624.00,721.00,520.00,8080.00,6180.00,5100.00,105.00,477.52,113.88,944.23,5.17,460.00,6.00,6.50,1.30,1.80,23.00,66.00,230.00,harvesting,fruit_vines
blackberries,93930.00,47470.00,116150.00,60180.00,28840.00,14000.00,510.00,824.00,500.00,5000.00,3000.00,4040.00,113.30,593.76,240.33,465.12,8.47,595.00,5.20,6.60,1.20,1.70,21.00,56.00,300.00,harvesting,fruitables
blackberries,252000.00,154500.00,218400.00,180000.00,126000.00,90900.00,1800.00,2100.00,1530.00,24240.00,18000.00,15750.00,315.00,735.13,104.72,465.12,6.96,660.00,6.00,6.50,1.20,1.70,27.00,56.00,330.00,flowering,fruit_vines
blackberries,501970.00,234000.00,617760.00,291000.00,153470.00,73500.00,3780.00,5562.00,3502.00,29580.00,13130.00,16800.00,545.40,427.26,131.95,986.20,8.31,1740.00,5.20,6.80,1.30,1.80,27.00,49.00,365.00,flowering,fruitables
blueberries,304880.00,148720.00,348000.00,178500.00,82620.00,43050.00,1818.00,3016.00,1800.00,14700.00,6180.00,8160.00,381.10,408.41,65.97,930.24,3.23,1175.00,5.40,6.80,1.10,1.60,24.00,52.00,320.00,vegetative,fruitables
blueberries,88580.00,45150.00,112200.00,55080.00,27000.00,13390.00,412.00,707.00,412.00,4120.00,2080.00,3150.00,90.90,442.96,452.39,601.51,5.07,585.00,5.50,6.70,1.20,1.70,19.00,55.00,290.00,seedling,fruitables
blueberries,92920.00,49350.00,115140.00,59590.00,29120.00,14560.00,500.00,800.00,520.00,5150.00,3120.00,4200.00,111.10,612.61,98.02,986.20,8.17,595.00,5.40,6.80,1.20,1.70,21.00,56.00,300.00,harvesting,fruitables
blueberries,515840.00,235330.00,598930.00,290000.00,150960.00,69000.00,3744.00,5616.00,3570.00,29870.00,13130.00,16640.00,561.60,395.84,81.68,178.35,5.99,1740.00,5.30,6.90,1.10,1.60,27.00,49.00,365.00,flowering,fruitables
bok choy,297000.00,151200.00,355980.00,176130.00,84460.00,42230.00,1818.00,3016.00,1854.00,14280.00,6060.00,8080.00,370.00,439.82,71.63,566.54,5.13,1175.00,5.20,6.60,1.20,1.70,24.00,52.00,320.00,vegetative,cruciferous_vegetables
bok choy,87000.00,45320.00,111000.00,55080.00,27270.00,13650.00,416.00,700.00,412.00,4160.00,2100.00,3030.00,90.00,653.45,41.47,573.53,7.22,585.00,5.30,6.50,1.10,1.60,19.00,55.00,290.00,seedling,cruciferous_vegetables
bok choy,93000.00,48410.00,116150.00,59000.00,29120.00,14560.00,500.00,816.00,500.00,5150.00,3000.00,4200.00,112.20,263.89,452.39,713.42,3.20,595.00,5.20,6.60,1.10,1.60,21.00,56.00,300.00,harvesting,cruciferous_vegetables
bok choy,511910.00,234000.00,605880.00,293910.00,150490.00,73500.00,3672.00,5454.00,3400.00,30450.00,13520.00,16800.00,561.60,515.22,123.15,650.47,8.13,1740.00,5.10,6.70,1.20,1.70,27.00,49.00,365.00,flowering,cruciferous_vegetables
borage,60000.00,41200.00,51500.00,41600.00,30000.00,31500.00,728.00,832.00,714.00,6060.00,4160.00,4080.00,132.60,549.78,84.82,1248.48,4.95,540.00,6.00,6.50,1.20,1.70,24.00,62.00,270.00,vegetative,edible_flowers
borage,30900.00,20800.00,26250.00,20200.00,15600.00,15150.00,408.00,515.00,408.00,4040.00,3090.00,3000.00,80.00,480.66,80.11,954.72,5.47,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,seedling,edible_flowers
borage,30000.00,21000.00,25000.00,20000.00,15150.00,15750.00,408.00,500.00,416.00,4120.00,3030.00,3150.00,84.00,314.16,119.38,1007.18,3.25,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,harvesting,edible_flowers
borage,93600.00,62400.00,75750.00,61200.00,46350.00,47250.00,1010.00,1260.00,1010.00,9090.00,6120.00,6000.00,202.00,150.80,216.77,524.57,4.33,640.00,6.00,6.50,1.20,1.70,26.00,57.00,320.00,flowering,edible_flowers
boston butterhead lettuce,193800.00,87550.00,210000.00,111100.00,45900.00,23100.00,1339.00,2550.00,1300.00,14280.00,7140.00,7350.00,260.00,999.03,92.99,489.60,6.27,580.00,6.00,6.50,1.20,1.70,21.00,65.00,330.00,vegetative,leafy_greens
boston butterhead lettuce,68250.00,28560.00,76500.00,34650.00,18360.00,9450.00,400.00,630.00,404.00,2912.00,1872.00,1800.00,70.00,358.14,158.34,433.65,6.17,480.00,6.00,6.50,1.20,1.70,20.00,70.00,280.00,seedling,leafy_greens
boston butterhead lettuce,67600.00,28000.00,75000.00,34650.00,18360.00,9270.00,400.00,618.00,420.00,2856.00,1890.00,1818.00,71.40,603.19,94.25,587.52,6.10,480.00,6.00,6.50,1.20,1.70,20.00,70.00,280.00,harvesting,leafy_greens
boston butterhead lettuce,275400.00,116150.00,283500.00,170000.00,66950.00,32320.00,1854.00,3500.00,1854.00,18180.00,9270.00,9090.00,367.50,722.57,147.65,321.74,3.19,720.00,6.00,6.50,1.20,1.70,23.00,60.00,380.00,flowering,leafy_greens
brussels sprouts,308700.00,143820.00,348450.00,173040.00,79790.00,40950.00,1680.00,2727.00,1648.00,12000.00,4080.00,6240.00,353.50,439.82,92.36,629.49,7.94,1165.00,5.20,6.60,1.20,1.70,22.00,50.00,310.00,vegetative,cruciferous_vegetables
brussels sprouts,84000.00,41000.00,109080.00,53040.00,26250.00,11440.00,300.00,606.00,309.00,3150.00,1020.00,2020.00,72.10,471.24,150.80,902.27,4.21,575.00,5.30,6.50,1.20,1.70,18.00,53.00,280.00,seedling,cruciferous_vegetables
brussels sprouts,93600.00,46200.00,114240.00,57000.00,26780.00,12480.00,408.00,735.00,404.00,4120.00,2060.00,3090.00,90.90,490.09,201.06,713.42,9.02,585.00,5.20,6.60,1.20,1.70,19.00,54.00,300.00,harvesting,cruciferous_vegetables
brussels sprouts,508820.00,231000.00,613600.00,288000.00,148920.00,67670.00,3570.00,5304.00,3264.00,28350.00,11110.00,14560.00,525.20,691.15,172.79,447.64,4.06,1730.00,5.10,6.70,1.20,1.70,25.00,47.00,355.00,flowering,cruciferous_vegetables
cabbage,298000.00,146450.00,350000.00,175440.00,87150.00,42420.00,1919.00,3090.00,1995.00,15450.00,6000.00,8400.00,387.60,1187.52,138.23,786.86,8.19,1180.00,5.20,6.60,1.10,1.60,25.00,53.00,325.00,vegetative,cruciferous_vegetables
cabbage,88880.00,46350.00,113120.00,55550.00,28560.00,14420.00,520.00,832.00,416.00,4120.00,2100.00,3150.00,100.00,769.69,113.88,577.03,4.82,590.00,5.30,6.50,1.20,1.70,20.00,56.00,295.00,seedling,cruciferous_vegetables
cabbage,98700.00,48000.00,119480.00,63000.00,30450.00,15000.00,618.00,900.00,510.00,5050.00,3090.00,4160.00,122.40,471.24,201.06,612.00,7.90,595.00,5.20,6.60,1.20,1.70,22.00,57.00,305.00,harvesting,cruciferous_vegetables
cabbage,507960.00,239700.00,606900.00,292000.00,154500.00,72800.00,3774.00,5610.00,3535.00,30000.00,13000.00,16800.00,572.00,552.92,130.90,1199.52,6.25,1745.00,5.10,6.70,1.10,1.60,28.00,50.00,370.00,flowering,cruciferous_vegetables
calabrese broccoli,295000.00,146260.00,359840.00,175760.00,80000.00,40800.00,1785.00,2856.00,1768.00,13000.00,5000.00,7350.00,360.00,640.88,158.34,577.03,4.33,1170.00,5.20,6.60,1.20,1.70,23.00,51.00,315.00,vegetative,cruciferous_vegetables
calabrese broccoli,85850.00,43260.00,110090.00,53530.00,26520.00,12480.00,303.00,600.00,315.00,3060.00,1050.00,2060.00,80.00,320.44,136.66,807.84,6.48,580.00,5.30,6.50,1.20,1.70,18.00,54.00,285.00,seedling,cruciferous_vegetables
calabrese broccoli,95550.00,46800.00,117520.00,58000.00,28350.00,13260.00,420.00,707.00,408.00,4200.00,2020.00,3030.00,105.00,414.69,45.24,1077.12,4.36,590.00,5.20,6.60,1.20,1.70,20.00,55.00,305.00,harvesting,cruciferous_vegetables
calabrese broccoli,514800.00,236640.00,591000.00,300560.00,152880.00,68680.00,3535.00,5300.00,3333.00,29120.00,12240.00,15300.00,540.60,791.68,109.33,804.35,3.77,1735.00,5.10,6.70,1.20,1.70,26.00,48.00,360.00,flowering,cruciferous_vegetables
calendula,80800.00,60000.00,73500.00,61200.00,52000.00,51000.00,1224.00,1414.00,1248.00,12120.00,10100.00,10500.00,204.00,571.77,188.50,629.49,7.47,570.00,6.00,6.50,1.20,1.70,26.00,60.00,290.00,vegetative,edible_flowers
calendula,90000.00,42000.00,71400.00,50000.00,41200.00,30900.00,606.00,824.00,612.00,8320.00,6300.00,4040.00,120.00,857.65,49.01,954.72,4.61,540.00,6.00,6.50,1.20,1.70,22.00,59.00,255.00,vegetative,multipurpose
calendula,41200.00,30000.00,35000.00,30300.00,25750.00,25250.00,606.00,714.00,606.00,6300.00,5250.00,5200.00,103.00,201.06,89.54,612.00,7.26,470.00,6.00,6.50,1.10,1.60,24.00,65.00,240.00,seedling,edible_flowers
calendula,45900.00,20200.00,36050.00,25000.00,21000.00,15600.00,312.00,416.00,306.00,4000.00,3090.00,2020.00,61.20,879.65,50.27,223.82,3.99,440.00,6.00,6.50,1.20,1.70,20.00,64.00,205.00,seedling,multipurpose
calendula,40400.00,30300.00,35000.00,30900.00,26000.00,25250.00,618.00,707.00,612.00,6300.00,5050.00,5150.00,104.00,414.69,147.65,377.69,3.40,470.00,6.00,6.50,1.10,1.60,24.00,65.00,240.00,harvesting,edible_flowers
calendula,46800.00,21000.00,36400.00,26250.00,20600.00,15450.00,312.00,400.00,306.00,4040.00,3090.00,2060.00,62.40,251.33,92.99,545.56,8.34,440.00,6.00,6.50,1.20,1.70,20.00,64.00,205.00,harvesting,multipurpose
calendula,120000.00,93600.00,109200.00,92700.00,77250.00,78750.00,1872.00,2100.00,1800.00,18180.00,15000.00,15300.00,300.00,678.58,172.79,409.17,4.02,670.00,6.00,6.50,1.20,1.70,28.00,55.00,340.00,flowering,edible_flowers
calendula,137700.00,61800.00,106050.00,77250.00,61200.00,45900.00,909.00,1200.00,945.00,12240.00,9270.00,6300.00,180.00,747.70,197.92,279.77,5.96,640.00,6.00,6.50,1.20,1.70,24.00,54.00,305.00,flowering,multipurpose
canary melons,311060.00,150960.00,358000.00,178770.00,86000.00,45000.00,2100.00,3333.00,2142.00,18180.00,7350.00,9180.00,412.00,289.03,75.40,517.58,3.94,1195.00,5.60,7.00,1.20,1.70,27.00,56.00,330.00,vegetative,fruitables
canary melons,93000.00,48880.00,119340.00,56000.00,28560.00,16640.00,525.00,927.00,510.00,5000.00,2060.00,3000.00,113.30,235.62,267.04,755.39,5.48,595.00,5.70,6.90,1.20,1.70,21.00,57.00,305.00,seedling,fruitables
canary melons,98940.00,51000.00,126000.00,64050.00,32240.00,17510.00,800.00,1155.00,728.00,6300.00,3120.00,4040.00,153.00,395.84,54.19,716.92,5.00,615.00,5.60,7.00,1.20,1.70,23.00,58.00,310.00,harvesting,fruitables
