name,nirtogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,maganese,molybdenum ,oxygen,carbondioxide,ph_min,ph_max,EC_min,EC_max,temp,humidity,light,growth_stage,type
beefsteak tomatoes,600.00,350.00,720.00,380.00,190.00,95.00,4.00,6.00,4.00,40.00,20.00,20.00,0.80,6.00,2100.00,6.00,6.50,1.2,1.7,35.00,50.00,450.00,flowering,fruitables
beet greens,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.2,1.7,20.00,70.00,340.00,seedling,leafy_greens
beet greens,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.2,1.7,20.00,70.00,340.00,harvesting,leafy_greens
beet greens,220.00,130.00,240.00,130.00,60.00,30.00,1.80,3.50,1.80,17.00,9.00,9.00,0.40,6.00,640.00,6.00,6.50,1.2,1.7,22.00,65.00,390.00,vegetative,leafy_greens
beet greens,320.00,180.00,320.00,190.00,80.00,45.00,2.50,5.00,2.50,22.00,12.00,12.00,0.50,6.00,820.00,6.00,6.50,1.2,1.7,24.00,60.00,440.00,flowering,leafy_greens
beetroot,85.00,42.00,109.00,53.00,26.00,12.00,0.30,0.60,0.30,3.00,1.00,2.00,0.07,6.00,575.00,5.30,6.50,1.2,1.7,18.00,53.00,280.00,seedling,root_vegetable
beetroot,90.00,44.00,112.00,57.00,26.00,12.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.20,6.60,1.2,1.7,19.00,54.00,300.00,harvesting,root_vegetable
beetroot,295.00,142.00,345.00,168.00,79.00,39.00,1.60,2.70,1.60,12.00,4.00,6.00,0.35,5.00,1165.00,5.20,6.60,1.2,1.7,22.00,50.00,310.00,vegetative,root_vegetable
beetroot,495.00,232.00,590.00,288.00,146.00,67.00,3.40,5.20,3.20,27.00,11.00,14.00,0.52,6.00,1730.00,5.10,6.70,1.2,1.7,25.00,47.00,355.00,flowering,root_vegetable
bergamot,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.2,1.7,20.00,70.00,300.00,seedling,herbs
bergamot,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.2,1.7,20.00,70.00,300.00,harvesting,herbs
bergamot,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.2,1.7,22.00,65.00,350.00,vegetative,herbs
bergamot,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,1.2,1.7,24.00,60.00,400.00,flowering,herbs
bibb butterhead lettuce,70.00,30.00,80.00,35.00,20.00,10.00,0.40,0.70,0.40,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.2,1.7,20.00,70.00,300.00,seedling,leafy_greens
bibb butterhead lettuce,70.00,30.00,80.00,35.00,20.00,10.00,0.40,0.70,0.40,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.2,1.7,20.00,70.00,300.00,harvesting,leafy_greens
bibb butterhead lettuce,200.00,90.00,220.00,120.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.2,1.7,22.00,65.00,350.00,vegetative,leafy_greens
bibb butterhead lettuce,280.00,120.00,280.00,180.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,1.2,1.7,24.00,60.00,400.00,flowering,leafy_greens
black pepper,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.2,1.7,20.00,70.00,340.00,seedling,herbs
black pepper,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.2,1.7,20.00,70.00,340.00,harvesting,herbs
black pepper,220.00,130.00,240.00,130.00,60.00,30.00,1.80,3.50,1.80,17.00,9.00,9.00,0.40,6.00,640.00,6.00,6.50,1.2,1.7,22.00,65.00,390.00,vegetative,herbs
black pepper,320.00,180.00,320.00,190.00,80.00,45.00,2.50,5.00,2.50,22.00,12.00,12.00,0.50,6.00,820.00,6.00,6.50,1.2,1.7,24.00,60.00,440.00,flowering,herbs
blackberries,80.00,50.00,70.00,60.00,40.00,30.00,0.60,0.70,0.50,8.00,6.00,5.00,0.10,5.00,460.00,6.00,6.50,1.3,1.8,23.00,66.00,230.00,seedling,fruit_vines
blackberries,80.00,50.00,70.00,60.00,40.00,30.00,0.60,0.70,0.50,8.00,6.00,5.00,0.10,5.00,460.00,6.00,6.50,1.3,1.8,23.00,66.00,230.00,harvesting,fruit_vines
blackberries,160.00,100.00,140.00,120.00,80.00,60.00,1.20,1.40,1.00,16.00,12.00,10.00,0.20,6.00,560.00,6.00,6.50,1.2,1.7,25.00,61.00,280.00,vegetative,fruit_vines
blackberries,240.00,150.00,210.00,180.00,120.00,90.00,1.80,2.10,1.50,24.00,18.00,15.00,0.30,7.00,660.00,6.00,6.50,1.2,1.7,27.00,56.00,330.00,flowering,fruit_vines
blackberries,87.00,44.00,111.00,54.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.40,6.60,1.2,1.7,19.00,55.00,290.00,seedling,fruitables
blackberries,93.00,47.00,115.00,59.00,28.00,14.00,0.50,0.80,0.50,5.00,3.00,4.00,0.11,6.00,595.00,5.20,6.60,1.2,1.7,21.00,56.00,300.00,harvesting,fruitables
blackberries,297.00,144.00,349.00,171.00,82.00,41.00,1.80,2.90,1.80,14.00,6.00,8.00,0.37,5.00,1175.00,5.30,6.70,1.3,1.8,24.00,52.00,320.00,vegetative,fruitables
blackberries,497.00,234.00,594.00,291.00,149.00,70.00,3.60,5.40,3.40,29.00,13.00,16.00,0.54,6.00,1740.00,5.20,6.80,1.3,1.8,27.00,49.00,365.00,flowering,fruitables
blueberries,86.00,43.00,110.00,54.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.50,6.70,1.2,1.7,19.00,55.00,290.00,seedling,fruitables
blueberries,92.00,47.00,114.00,59.00,28.00,14.00,0.50,0.80,0.50,5.00,3.00,4.00,0.11,6.00,595.00,5.40,6.80,1.2,1.7,21.00,56.00,300.00,harvesting,fruitables
blueberries,296.00,143.00,348.00,170.00,81.00,41.00,1.80,2.90,1.80,14.00,6.00,8.00,0.37,5.00,1175.00,5.40,6.80,1.1,1.6,24.00,52.00,320.00,vegetative,fruitables
blueberries,496.00,233.00,593.00,290.00,148.00,69.00,3.60,5.40,3.40,29.00,13.00,16.00,0.54,6.00,1740.00,5.30,6.90,1.1,1.6,27.00,49.00,365.00,flowering,fruitables
bok choy,87.00,44.00,111.00,54.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.30,6.50,1.1,1.6,19.00,55.00,290.00,seedling,cruciferous_vegetables
bok choy,93.00,47.00,115.00,59.00,28.00,14.00,0.50,0.80,0.50,5.00,3.00,4.00,0.11,6.00,595.00,5.20,6.60,1.1,1.6,21.00,56.00,300.00,harvesting,cruciferous_vegetables
bok choy,297.00,144.00,349.00,171.00,82.00,41.00,1.80,2.90,1.80,14.00,6.00,8.00,0.37,5.00,1175.00,5.20,6.60,1.2,1.7,24.00,52.00,320.00,vegetative,cruciferous_vegetables
bok choy,497.00,234.00,594.00,291.00,149.00,70.00,3.60,5.40,3.40,29.00,13.00,16.00,0.54,6.00,1740.00,5.10,6.70,1.2,1.7,27.00,49.00,365.00,flowering,cruciferous_vegetables
borage,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,seedling,edible_flowers
borage,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,harvesting,edible_flowers
borage,60.00,40.00,50.00,40.00,30.00,30.00,0.70,0.80,0.70,6.00,4.00,4.00,0.13,6.00,540.00,6.00,6.50,1.2,1.7,24.00,62.00,270.00,vegetative,edible_flowers
borage,90.00,60.00,75.00,60.00,45.00,45.00,1.00,1.20,1.00,9.00,6.00,6.00,0.20,7.00,640.00,6.00,6.50,1.2,1.7,26.00,57.00,320.00,flowering,edible_flowers
boston butterhead lettuce,65.00,28.00,75.00,33.00,18.00,9.00,0.40,0.60,0.40,2.80,1.80,1.80,0.07,6.00,480.00,6.00,6.50,1.2,1.7,20.00,70.00,280.00,seedling,leafy_greens
boston butterhead lettuce,65.00,28.00,75.00,33.00,18.00,9.00,0.40,0.60,0.40,2.80,1.80,1.80,0.07,6.00,480.00,6.00,6.50,1.2,1.7,20.00,70.00,280.00,harvesting,leafy_greens
boston butterhead lettuce,190.00,85.00,210.00,110.00,45.00,22.00,1.30,2.50,1.30,14.00,7.00,7.00,0.25,6.00,580.00,6.00,6.50,1.2,1.7,21.00,65.00,330.00,vegetative,leafy_greens
boston butterhead lettuce,270.00,115.00,270.00,170.00,65.00,32.00,1.80,3.50,1.80,18.00,9.00,9.00,0.35,6.00,720.00,6.00,6.50,1.2,1.7,23.00,60.00,380.00,flowering,leafy_greens
brussels sprouts,84.00,41.00,108.00,52.00,25.00,11.00,0.30,0.60,0.30,3.00,1.00,2.00,0.07,6.00,575.00,5.30,6.50,1.2,1.7,18.00,53.00,280.00,seedling,cruciferous_vegetables
brussels sprouts,90.00,44.00,112.00,57.00,26.00,12.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.20,6.60,1.2,1.7,19.00,54.00,300.00,harvesting,cruciferous_vegetables
brussels sprouts,294.00,141.00,345.00,168.00,79.00,39.00,1.60,2.70,1.60,12.00,4.00,6.00,0.35,5.00,1165.00,5.20,6.60,1.2,1.7,22.00,50.00,310.00,vegetative,cruciferous_vegetables
brussels sprouts,494.00,231.00,590.00,288.00,146.00,67.00,3.40,5.20,3.20,27.00,11.00,14.00,0.52,6.00,1730.00,5.10,6.70,1.2,1.7,25.00,47.00,355.00,flowering,cruciferous_vegetables
cabbage,88.00,45.00,112.00,55.00,28.00,14.00,0.50,0.80,0.40,4.00,2.00,3.00,0.10,6.00,590.00,5.30,6.50,1.2,1.7,20.00,56.00,295.00,seedling,cruciferous_vegetables
cabbage,94.00,48.00,116.00,60.00,29.00,15.00,0.60,0.90,0.50,5.00,3.00,4.00,0.12,6.00,595.00,5.20,6.60,1.2,1.7,22.00,57.00,305.00,harvesting,cruciferous_vegetables
cabbage,298.00,145.00,350.00,172.00,83.00,42.00,1.90,3.00,1.90,15.00,6.00,8.00,0.38,5.00,1180.00,5.20,6.60,1.1,1.6,25.00,53.00,325.00,vegetative,cruciferous_vegetables
cabbage,498.00,235.00,595.00,292.00,150.00,70.00,3.70,5.50,3.50,30.00,13.00,16.00,0.55,6.00,1745.00,5.10,6.70,1.1,1.6,28.00,50.00,370.00,flowering,cruciferous_vegetables
calabrese broccoli,85.00,42.00,109.00,53.00,26.00,12.00,0.30,0.60,0.30,3.00,1.00,2.00,0.08,6.00,580.00,5.30,6.50,1.2,1.7,18.00,54.00,285.00,seedling,cruciferous_vegetables
calabrese broccoli,91.00,45.00,113.00,58.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.10,6.00,590.00,5.20,6.60,1.2,1.7,20.00,55.00,305.00,harvesting,cruciferous_vegetables
calabrese broccoli,295.00,142.00,346.00,169.00,80.00,40.00,1.70,2.80,1.70,13.00,5.00,7.00,0.36,5.00,1170.00,5.20,6.60,1.2,1.7,23.00,51.00,315.00,vegetative,cruciferous_vegetables
calabrese broccoli,495.00,232.00,591.00,289.00,147.00,68.00,3.50,5.30,3.30,28.00,12.00,15.00,0.53,6.00,1735.00,5.10,6.70,1.2,1.7,26.00,48.00,360.00,flowering,cruciferous_vegetables
calendula,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.1,1.6,24.00,65.00,240.00,seedling,edible_flowers
calendula,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.1,1.6,24.00,65.00,240.00,harvesting,edible_flowers
calendula,80.00,60.00,70.00,60.00,50.00,50.00,1.20,1.40,1.20,12.00,10.00,10.00,0.20,6.00,570.00,6.00,6.50,1.2,1.7,26.00,60.00,290.00,vegetative,edible_flowers
calendula,120.00,90.00,105.00,90.00,75.00,75.00,1.80,2.10,1.80,18.00,15.00,15.00,0.30,7.00,670.00,6.00,6.50,1.2,1.7,28.00,55.00,340.00,flowering,edible_flowers
calendula,45.00,20.00,35.00,25.00,20.00,15.00,0.30,0.40,0.30,4.00,3.00,2.00,0.06,5.00,440.00,6.00,6.50,1.2,1.7,20.00,64.00,205.00,seedling,multipurpose
calendula,45.00,20.00,35.00,25.00,20.00,15.00,0.30,0.40,0.30,4.00,3.00,2.00,0.06,5.00,440.00,6.00,6.50,1.2,1.7,20.00,64.00,205.00,harvesting,multipurpose
calendula,90.00,40.00,70.00,50.00,40.00,30.00,0.60,0.80,0.60,8.00,6.00,4.00,0.12,6.00,540.00,6.00,6.50,1.2,1.7,22.00,59.00,255.00,vegetative,multipurpose
calendula,135.00,60.00,105.00,75.00,60.00,45.00,0.90,1.20,0.90,12.00,9.00,6.00,0.18,7.00,640.00,6.00,6.50,1.2,1.7,24.00,54.00,305.00,flowering,multipurpose
canary melons,93.00,47.00,117.00,56.00,28.00,16.00,0.50,0.90,0.50,5.00,2.00,3.00,0.11,6.00,595.00,5.70,6.90,1.2,1.7,21.00,57.00,305.00,seedling,fruitables
canary melons,97.00,50.00,120.00,61.00,31.00,17.00,0.80,1.10,0.70,6.00,3.00,4.00,0.15,5.00,615.00,5.60,7.00,1.2,1.7,23.00,58.00,310.00,harvesting,fruitables
canary melons,302.00,148.00,358.00,177.00,86.00,45.00,2.10,3.30,2.10,18.00,7.00,9.00,0.40,5.00,1195.00,5.60,7.00,1.2,1.7,27.00,56.00,330.00,vegetative,fruitables
canary melons,500.00,240.00,605.00,298.00,155.00,73.00,3.80,5.70,3.70,31.00,14.00,17.00,0.56,6.00,1760.00,5.50,7.10,1.2,1.7,29.00,53.00,375.00,flowering,fruitables
cantaloupe,90.00,48.00,115.00,58.00,29.00,15.00,0.60,0.90,0.50,6.00,2.00,3.00,0.12,6.00,600.00,5.80,7.00,1.2,1.7,22.00,58.00,300.00,seedling,fruitables
cantaloupe,95.00,50.00,120.00,62.00,30.00,16.00,0.70,1.00,0.60,5.00,3.00,4.00,0.13,6.00,605.00,5.70,7.10,1.2,1.7,23.00,59.00,310.00,harvesting,fruitables
cantaloupe,180.00,110.00,200.00,120.00,60.00,45.00,3.50,4.00,3.50,30.00,25.00,27.00,0.45,7.00,710.00,4.50,6.10,1.7,2.2,36.00,90.00,410.00,seedling,fruitables
cantaloupe,180.00,120.00,200.00,130.00,65.00,50.00,4.00,4.50,4.00,35.00,30.00,32.00,0.50,7.00,720.00,4.60,6.30,2.2,2.7,38.00,95.00,430.00,harvesting,fruitables
cantaloupe,300.00,150.00,355.00,175.00,85.00,44.00,2.10,3.20,2.10,17.00,7.00,9.00,0.39,5.00,1190.00,5.70,7.10,1.6,2.1,27.00,55.00,330.00,vegetative,fruitables
cantaloupe,380.00,230.00,430.00,250.00,150.00,80.00,5.50,6.50,5.50,55.00,40.00,42.00,1.00,7.00,1270.00,4.30,6.40,2.1,2.6,41.00,77.00,430.00,vegetative,fruitables
cantaloupe,500.00,240.00,600.00,290.00,150.00,70.00,3.80,5.70,3.60,31.00,14.00,17.00,0.56,6.00,1755.00,5.60,7.20,1.4,1.9,29.00,52.00,375.00,flowering,fruitables
cantaloupe,570.00,350.00,640.00,370.00,220.00,115.00,7.50,8.50,7.50,75.00,55.00,60.00,1.50,7.00,1920.00,4.00,6.60,1.4,1.9,44.00,70.00,510.00,flowering,fruitables
capsicum (bell peppers),94.00,46.00,120.00,58.00,31.00,15.00,0.60,1.00,0.50,5.00,2.00,3.00,0.11,6.00,610.00,5.60,6.60,1.9,2.4,23.00,62.00,305.00,seedling,fruitables
capsicum (bell peppers),99.00,50.00,122.00,63.00,33.00,19.00,0.90,1.10,0.80,6.00,3.00,4.00,0.16,5.00,615.00,5.50,6.70,2.4,2.9,26.00,59.00,315.00,harvesting,fruitables
capsicum (bell peppers),310.00,148.00,362.00,183.00,89.00,45.00,2.30,3.60,2.30,18.00,8.00,10.00,0.42,5.00,1205.00,5.50,6.70,1.6,2.1,28.00,58.00,335.00,vegetative,fruitables
capsicum (bell peppers),502.00,242.00,608.00,300.00,157.00,74.00,3.90,5.90,3.70,32.00,15.00,18.00,0.59,6.00,1780.00,5.40,6.70,2.1,2.6,30.00,55.00,385.00,flowering,fruitables
cardamom,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.4,1.9,22.00,67.00,220.00,seedling,spices
cardamom,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.4,1.9,22.00,67.00,220.00,harvesting,spices
cardamom,60.00,40.00,50.00,40.00,30.00,30.00,0.70,0.80,0.70,6.00,4.00,4.00,0.13,6.00,540.00,6.00,6.50,1.9,2.4,24.00,62.00,270.00,vegetative,spices
cardamom,90.00,60.00,75.00,60.00,45.00,45.00,1.00,1.20,1.00,9.00,6.00,6.00,0.20,7.00,640.00,6.00,6.50,2.4,2.9,26.00,57.00,320.00,flowering,spices
carrot,88.00,45.00,112.00,55.00,28.00,14.00,0.50,0.80,0.40,4.00,2.00,3.00,0.10,6.00,590.00,5.30,6.50,1.7,2.2,20.00,56.00,295.00,seedling,root_vegetable
carrot,94.00,48.00,116.00,60.00,29.00,15.00,0.60,0.90,0.50,5.00,3.00,4.00,0.12,6.00,595.00,5.20,6.60,2.2,2.7,22.00,57.00,305.00,harvesting,root_vegetable
carrot,298.00,145.00,350.00,172.00,83.00,42.00,1.90,3.00,1.90,15.00,6.00,8.00,0.38,5.00,1180.00,5.20,6.60,1.7,2.2,25.00,53.00,325.00,vegetative,root_vegetable
carrot,498.00,235.00,595.00,292.00,150.00,70.00,3.70,5.50,3.50,30.00,13.00,16.00,0.55,6.00,1745.00,5.10,6.70,2.2,2.7,28.00,50.00,370.00,flowering,root_vegetable
catnip,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.6,2.1,20.00,70.00,340.00,seedling,herbs
catnip,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.6,2.1,20.00,70.00,340.00,harvesting,herbs
