crop_id,crop_name,crop_temp,crop_humidity,crop_ph,crop_nitrogen,crop_phosphorus,crop_potassium,crop_calcium,crop_magnesium,crop_sulfur,crop_copper,crop_chlorine,crop_boron,crop_iron,crop_zinc,crop_manganese,crop_molybdenum,crop_nickel,crop_cobalt,crop_sodium,crop_ec,crop_light,crop_growth_stage,crop_type
63,ashwagandha,25.72242,350.42434,6.23086,73.62221,22.26813,9.91505,3.01526,0.19588,4.96848,0.49813,0.50012,0.50003,0.50071,0.4986,0.49913,0.50103,0.49973,0.62078,0.83368,0.95301,760.76531,harvesting,exotic_plants
64,ashwagandha,25.42007,358.08521,7.57509,72.80101,19.81933,10.21404,2.98787,0.18031,5.00536,0.50047,0.50221,0.49748,0.5015,0.50323,0.50303,0.49979,0.48881,0.48171,0.80903,0.9306,471.8188,seeding,exotic_plants
65,ashwagandha,25.39653,352.15925,6.93364,70.51158,20.36336,9.84745,3.04914,0.20571,5.01835,0.50095,0.49816,0.49951,0.49874,0.49987,0.50213,0.4979,0.49573,0.52877,0.56858,1.72001,584.99203,vegetative,exotic_plants
66,ashwagandha,24.48027,339.17179,7.08232,69.42427,19.92339,10.21894,2.98324,0.18459,5.00828,0.49791,0.50341,0.49954,0.49932,0.49919,0.50265,0.50532,0.509,0.58405,0.24985,3.42008,676.68692,flowering,exotic_plants
67,ashwagandha,24.98366,349.72807,7.70642,69.01923,21.87264,9.70911,2.98998,0.20313,5.00663,0.49889,0.50188,0.49951,0.50055,0.50107,0.49954,0.49973,0.5062,0.7249,1.22841,1.63941,469.15677,harvesting,exotic_plants
68,ashwagandha,24.13017,343.06213,6.31034,67.50096,20.80384,10.02394,3.04012,0.18782,5.01392,0.50092,0.4987,0.49908,0.49872,0.50171,0.49945,0.49968,0.48274,0.61139,0.5171,1.21451,559.33441,seeding,exotic_plants
69,ashwagandha,23.45094,338.91879,7.77479,69.23091,17.77199,10.10087,2.99117,0.1881,5.01493,0.4997,0.50086,0.49951,0.49975,0.50042,0.503,0.50049,0.49259,0.48045,0.34573,3.34451,485.43827,vegetative,exotic_plants
70,ashwagandha,24.40402,363.08174,6.63514,76.05115,20.47525,10.09433,2.99905,0.19951,4.97941,0.4983,0.49977,0.50031,0.50335,0.50129,0.50099,0.49825,0.4916,0.4688,0.94098,0.56261,525.3867,flowering,exotic_plants
71,ashwagandha,25.42393,340.09348,5.75077,69.46737,18.50848,9.9189,2.99094,0.18205,4.95808,0.50141,0.49875,0.5006,0.50221,0.50223,0.49915,0.50039,0.4946,0.55606,0.60378,2.37192,585.40421,harvesting,exotic_plants
72,ashwagandha,24.85192,341.87946,7.79188,72.37304,20.96746,9.90421,2.97847,0.21089,5.00323,0.50157,0.50253,0.49994,0.4994,0.49853,0.50134,0.49803,0.49108,0.57459,1.23938,3.316,549.42675,seeding,exotic_plants
73,ashwagandha,25.0954,355.5895,6.7639,74.23467,19.50023,10.07891,3.01837,0.22104,4.99132,0.4987,0.49977,0.49824,0.50313,0.50034,0.49946,0.49921,0.49369,0.57814,0.82308,3.40592,597.31425,vegetative,exotic_plants
74,ashwagandha,25.81265,351.40132,6.95893,75.70824,19.58301,10.05597,2.99605,0.20043,5.01841,0.50008,0.50246,0.49968,0.49892,0.49982,0.49919,0.49895,0.53524,0.51549,0.95074,0.62928,672.23541,flowering,exotic_plants
75,ashwagandha,23.57184,338.59254,7.81931,70.37982,20.09138,10.04601,2.99515,0.19632,4.98345,0.4993,0.50172,0.49631,0.49872,0.49851,0.49905,0.50151,0.50667,0.71568,0.97094,2.90507,593.82147,harvesting,exotic_plants
76,ashwagandha,25.14354,350.2692,6.65077,73.73364,21.0393,9.90982,3.00902,0.18904,5.01637,0.50043,0.50113,0.49944,0.49978,0.4977,0.50179,0.49755,0.49551,0.675,0.63964,2.06284,591.30315,seeding,exotic_plants
77,ashwagandha,24.12038,339.803,7.85429,68.62179,17.31352,10.03392,2.99576,0.21197,4.98736,0.49876,0.50263,0.49996,0.50067,0.50014,0.49995,0.49967,0.49533,0.38392,0.04082,2.92463,675.2877,vegetative,exotic_plants
78,ashwagandha,23.88229,339.10747,8.19661,70.3472,19.8452,9.99961,3.0178,0.20077,4.99279,0.4975,0.49947,0.50031,0.50003,0.49861,0.50339,0.49942,0.46421,0.4669,0.91154,1.53683,433.793,flowering,exotic_plants
79,ashwagandha,25.44259,340.53408,7.9505,74.73021,20.48721,9.87709,3.01353,0.2035,5.02647,0.49706,0.50163,0.50108,0.49754,0.49884,0.49884,0.49806,0.48662,0.56498,1.45806,2.11472,474.53643,harvesting,exotic_plants
80,ashwagandha,24.56305,359.42346,6.077,72.02699,18.46989,9.99314,2.98467,0.20728,5.0041,0.50113,0.49982,0.50041,0.49911,0.50056,0.49795,0.49755,0.4953,0.50413,0.46416,2.23129,568.87317,seeding,exotic_plants
81,ashwagandha,26.28973,356.74241,7.75165,74.9446,22.45379,9.96934,3.01891,0.19409,4.99854,0.50063,0.50187,0.50132,0.49877,0.50103,0.50217,0.50198,0.50474,0.32849,0.86642,1.29834,452.48819,vegetative,exotic_plants
82,ashwagandha,24.89184,361.08129,6.02811,66.58023,17.73944,10.50469,3.01965,0.1993,5.01123,0.49769,0.49662,0.50189,0.49891,0.49937,0.50026,0.49974,0.47363,0.5569,1.5,1.12953,527.66267,flowering,exotic_plants
83,ashwagandha,23.56647,357.68159,7.15164,77.72942,17.41035,10.09507,3.04216,0.22474,4.999,0.49784,0.50064,0.50001,0.4997,0.50181,0.49969,0.5017,0.51386,0.57227,0.32934,1.94552,489.9965,harvesting,exotic_plants
84,babyeggplant,23.72626,364.26105,6.51741,71.51366,19.37653,10.01392,3.0291,0.20524,4.99715,0.5004,0.50059,0.49741,0.50169,0.5013,0.5029,0.49789,0.49543,0.37357,1.23223,1.8989,684.98323,seeding,fruitables
85,babyeggplant,24.24901,354.73671,7.18969,69.52749,17.96202,10.09895,2.96667,0.1848,5.02534,0.49666,0.50038,0.49717,0.50218,0.50142,0.50137,0.49792,0.50354,0.48829,0.92754,2.89454,410.72311,vegetative,fruitables
86,babyeggplant,24.72403,364.1751,7.41891,77.33666,19.8044,9.6943,2.99012,0.1872,4.95956,0.49995,0.49837,0.49887,0.49864,0.50115,0.4975,0.50106,0.49294,0.44926,0.22795,3.18941,495.09008,flowering,fruitables
87,babyeggplant,24.7443,348.65263,6.81369,78.9917,20.42785,9.66432,3.02375,0.17734,5.00422,0.50123,0.50023,0.49669,0.49753,0.4963,0.49863,0.50059,0.49539,0.41671,0.44504,0.02143,597.24281,harvesting,fruitables
88,babyeggplant,25.72681,354.34721,6.31322,64.90509,19.1991,10.2242,2.96244,0.18794,5.03381,0.49966,0.49862,0.50069,0.5018,0.50118,0.49975,0.50114,0.45454,0.53027,1.19339,0.93707,333.0916,seeding,fruitables
89,babyeggplant,27.08982,360.56893,7.21133,65.76055,18.61327,10.16481,3.00925,0.19012,5.01163,0.50131,0.50225,0.5005,0.49931,0.50242,0.50067,0.50143,0.50096,0.51127,0.76755,0.20392,861.69537,vegetative,fruitables
90,babyeggplant,25.88577,353.52973,5.76029,72.96254,23.25927,10.02466,2.99647,0.20213,5.00789,0.4998,0.49943,0.50224,0.50216,0.50176,0.50059,0.50197,0.52281,0.3752,0.83567,1.47486,503.74528,flowering,fruitables
91,babyeggplant,26.34127,351.44197,7.44014,73.63502,20.04786,9.58574,3.03598,0.20919,4.98966,0.50088,0.50201,0.49995,0.49961,0.49967,0.49905,0.49981,0.48921,0.55775,0.5507,1.64626,484.81402,harvesting,fruitables
92,babyeggplant,24.99509,355.64719,6.98531,71.69912,20.01197,9.94078,3.00362,0.17748,4.95522,0.49944,0.50093,0.49998,0.50292,0.49798,0.50071,0.50074,0.48607,0.51447,0.53099,3.48641,340.80275,seeding,fruitables
93,babyeggplant,25.8054,352.39082,6.13908,68.1942,21.38044,9.58587,3.00759,0.1767,4.97793,0.49984,0.5,0.49932,0.5006,0.50152,0.49887,0.50359,0.46091,0.42256,0.26411,0.65623,534.3295,vegetative,fruitables
94,babyeggplant,25.92357,354.1606,7.30585,66.9441,18.84939,9.9257,3.00369,0.18794,4.94785,0.49956,0.5003,0.49983,0.49917,0.49963,0.50333,0.49901,0.49468,0.3833,0.74784,1.65913,556.05203,flowering,fruitables
95,babyeggplant,24.39512,343.36461,8.40589,71.23343,20.13662,10.07637,3.0325,0.20897,4.97728,0.50126,0.49974,0.49902,0.49941,0.50121,0.50067,0.50121,0.50606,0.5329,1.18203,2.48478,434.13175,harvesting,fruitables
96,babyeggplant,24.02824,360.46448,7.41845,73.07886,18.9296,10.08446,2.99632,0.19332,5.0469,0.50089,0.49913,0.5006,0.50201,0.50071,0.50099,0.50188,0.49442,0.61603,0.94829,1.74893,752.82329,seeding,fruitables
97,babyeggplant,24.86608,359.30957,7.88325,75.68727,19.49509,9.97063,3.01134,0.19728,5.01029,0.50009,0.49909,0.50233,0.49747,0.49843,0.50441,0.49994,0.50215,0.41691,0.92589,0.39871,358.44154,vegetative,fruitables
98,babyeggplant,26.06891,335.36416,8.46076,72.4452,19.30495,9.98053,3.01215,0.18331,5.0293,0.50021,0.49934,0.50093,0.50062,0.49824,0.50094,0.49921,0.52109,0.55872,0.21104,1.80744,479.11837,flowering,fruitables
99,babyeggplant,24.60561,356.29036,6.29469,67.45961,19.43809,9.51595,2.97869,0.18941,4.98617,0.49594,0.50281,0.49953,0.49838,0.49881,0.50023,0.4999,0.4662,0.33806,0.83389,1.85427,489.92101,harvesting,fruitables
100,babyeggplant,23.24775,372.18293,7.0926,69.02093,20.54946,9.99748,2.97232,0.22048,5.00419,0.49589,0.49733,0.50092,0.49722,0.49727,0.49816,0.5006,0.47694,0.38333,0.91017,2.16569,686.15979,seeding,fruitables
101,babyeggplant,25.76821,347.80509,7.31292,76.52485,21.21229,9.9471,2.97218,0.21209,4.99111,0.49942,0.50095,0.4981,0.50279,0.4991,0.50143,0.49927,0.49737,0.67746,0.84499,2.19307,599.17685,vegetative,fruitables
102,babyeggplant,27.37595,370.07557,8.46114,69.46082,21.57836,10.08491,3.02532,0.20693,5.0096,0.50147,0.49959,0.50292,0.50091,0.4997,0.50108,0.50106,0.47763,0.46315,0.08529,3.75876,592.49553,flowering,fruitables
103,babyeggplant,26.31621,365.90668,7.70771,72.53635,21.01355,10.14697,2.99834,0.19438,4.97669,0.50147,0.49715,0.50189,0.50242,0.50121,0.50253,0.49947,0.51241,0.37531,1.06462,1.76453,431.96856,harvesting,fruitables
104,babyeggplant,22.94847,347.4263,6.78432,75.74938,18.49013,9.98619,2.99311,0.19132,4.99195,0.50188,0.49911,0.4983,0.49882,0.49999,0.50169,0.50215,0.5068,0.75136,0.84524,2.68581,627.28849,seeding,fruitables
105,babyspinach,24.2046,345.17115,7.35615,78.82597,19.87653,9.82727,3.01077,0.2042,4.99833,0.49963,0.49889,0.50121,0.49826,0.4994,0.50105,0.50165,0.48779,0.6645,0.68246,0.67033,525.79675,vegetative,leafy_greens
106,babyspinach,24.52376,349.90978,5.66603,71.02826,19.30874,9.83051,2.98665,0.2027,4.96848,0.4996,0.50369,0.49889,0.50103,0.50136,0.49649,0.5,0.48477,0.39587,1.13019,2.21495,653.77665,flowering,leafy_greens
107,babyspinach,22.62937,349.6847,7.20255,70.59047,22.84369,9.92459,3.0286,0.18075,5.02836,0.49859,0.5011,0.50082,0.4986,0.50052,0.5017,0.50099,0.50716,0.45575,0.52294,2.61121,373.93268,harvesting,leafy_greens
108,babyspinach,26.61154,340.19868,7.654,70.89902,18.41045,10.08182,2.98834,0.22927,5.03929,0.50096,0.49761,0.50074,0.50037,0.49802,0.49685,0.49873,0.49682,0.6028,0.99342,1.2625,572.26284,seeding,leafy_greens
109,babyspinach,23.59659,334.3483,8.3479,67.76713,22.11663,10.01581,2.98963,0.20027,5.01186,0.49997,0.49746,0.50169,0.50045,0.49838,0.50284,0.49947,0.48482,0.46851,0.80373,2.18081,566.64948,vegetative,leafy_greens
